match_id,delivery_id,preview_url,thumbnail_url,score_before,score_after,players,compare_mode,left_label,right_label,compare_left_src,compare_right_src
padel-germany-v1,padel-germany-v1-01,/deliveries/padel-germany-v1/videos/highlight_01_sendable.mp4,/deliveries/padel-germany-v1/posters/h01_last_topdown_frame.png,30-15,30-30,Oliver / Basti / Player 3 / Player 4,NetCam vs NetCam,NetCam Left,NetCam Right,/deliveries/padel-germany-v1/videos/compare/sync_netcam1_v2.mp4,/deliveries/padel-germany-v1/videos/compare/sync_netcam2_gx020090_final_v16.mp4
padel-germany-v1,padel-germany-v1-02,/deliveries/padel-germany-v1/videos/highlight_02_sendable.mp4,/deliveries/padel-germany-v1/posters/h02_last_topdown_frame.png,0-0,15-0,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-03,/deliveries/padel-germany-v1/videos/highlight_03_sendable.mp4,/deliveries/padel-germany-v1/posters/h03_last_topdown_frame.png,0-0,15-0,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-04,/deliveries/padel-germany-v1/videos/highlight_04_sendable.mp4,/deliveries/padel-germany-v1/posters/h04_last_topdown_frame.png,30-30,40-30,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-05,/deliveries/padel-germany-v1/videos/highlight_05_sendable.mp4,/deliveries/padel-germany-v1/posters/h05_last_topdown_frame.png,0-0,0-15,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-06,/deliveries/padel-germany-v1/videos/highlight_06_sendable.mp4,/deliveries/padel-germany-v1/posters/h06_last_topdown_frame.png,30-0,40-0,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-07,/deliveries/padel-germany-v1/videos/highlight_07_sendable.mp4,/deliveries/padel-germany-v1/posters/h07_last_topdown_frame.png,15-15,30-15,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-08,/deliveries/padel-germany-v1/videos/highlight_08_sendable.mp4,/deliveries/padel-germany-v1/posters/h08_last_topdown_frame.png,40-30,40-40,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-09,/deliveries/padel-germany-v1/videos/highlight_09_sendable.mp4,/deliveries/padel-germany-v1/posters/h09_last_topdown_frame.png,40-40,0-0,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
padel-germany-v1,padel-germany-v1-10,/deliveries/padel-germany-v1/videos/highlight_10_sendable.mp4,/deliveries/padel-germany-v1/posters/h10_last_topdown_frame.png,15-15,30-15,Oliver / Basti / Player 3 / Player 4,Single angle,NetCam Left,NetCam Right,,
